,TITRE COMMENTAIRE,DATE EXPERIENCE,COMMENTAIRE,QUI A COMMENTÉ,NOMBRE AVIS LAISSÉ PAR CETTE PERSONNE,LOCALISATION DE LA PERSONNE QUI A COMMENTÉ,PRÉSENCE D'UNE RÉPONSE (booléen),QUI A RÉPONDU,RÉPONSE AU COMMENTAIRE,NOMBRE D'ÉTOILE
6730,Show room privé et la surprise du jour,26 août 2022,Showroomprive nous ouvre chaque jour de nouvelles aventures grâce au choix merveilleux de ses ventes. La qualité toujours au rendez-vous nous aide à succomber plus vite...,Tessy,40 avis,FR,True,Showroomprive.com,"Bonjour,
Merci pour votre commentaire qui va faire plaisir à l'ensemble de nos équipes.
Nous sommes heureux de vous compter parmi nos clients.
A très bientôt,
Ghita",5
6731,je suis satisfaite de mes achats,26 août 2022,je suis satisfaite de mes achats. les dates de livraison sont respectées.,Hernandez,2 avis,FR,True,Showroomprive.com,"Bonjour,
Merci pour votre commentaire qui va faire plaisir à l'ensemble de nos équipes.
Nous sommes heureux de vous compter parmi nos clients.
A très bientôt,
Ghita",5
6732,Beaucoup de déception suite à deux…,26 août 2022,"Beaucoup de déception suite à deux commande.
Une Emma arrivée en plusieurs colis et sur plusieurs mois
Une cybex qui au moment de la livraison a été annule.",ABS,1 avis,FR,True,Showroomprive.com,"Bonjour,
Je suis sincèrement désolé d'apprendre les anomaliesrelatives à la livraison de vos commandes.
Je vous présente nos excuses pour ce désagrément.
Nous vous assurons que nous travaillons constamment pour améliorer de plus en plus notre service!
Ce sont vos commentaires qui nous permettent de le faire.
Par ailleurs, je vous informe avoir remonté cette anomalie auprès de nos services afin d'y remédier prochainement.
Si besoin, nous restons à votre disposition pour tout renseignement.
Cordialement,
Ayoub",3
6733,J'adore commander chez vous.,26 août 2022,"J'adore commander chez vous.
Pour la qualité des produits.
Pour la rapidité à la quelle vous livré. Le seul bémol quand il y a des vacances , vous ne livrez pas toujours comme nous le souhaitons. Merci quand même. J. HERMAN",Jacqueline Herman,1 avis,FR,True,Showroomprive.com,"Bonjour,
Merci pour votre commentaire qui va faire plaisir à l'ensemble de nos équipes.
Nous sommes heureux de vous compter parmi nos clients.
A très bientôt,
Ghita",5
6734,Les produits sont satisfaisants mais le…,26 août 2022,"Les produits sont satisfaisants mais le délai n’est pas bon , il n’y a pas de communication, KIKIKICKZ ne réponds pas au mail , et ça peut durer plus d’un mois .. c’est le seul bémol qu’il faut rectifier d’urgence",Alain,1 avis,GF,True,Showroomprive.com,"Bonjour Alain,
Je vous remercie pour votre appréciation.
Nous vous assurons que nous travaillons constamment pour améliorer de plus en plus notre service!
Ce sont vos commentaires qui nous permettent de le faire.
Pour vous expliquer, les contraintes logistiques inhérentes à la nature des ventes événementielles ne nous permettent pas d’accélérer la livraison.
En effet, bien que nous mettions tout en œuvre pour réduire au minimum les délais de livraison, nous restons tributaires de la date de réception de la marchandise envoyée par notre fournisseur, ainsi que du temps nécessaire à la préparation de votre commande.
Par ailleurs, je vous informe avoir remonté cette observation auprès de nos services.
Si besoin, nous restons à votre disposition pour tout renseignement.
Cordialement,
Ayoub",4
6735,Retour,26 août 2022,Le problème c est la gestion des retours impossible â faire sur l application et les frais de retour honereux.,Nathalie,2 avis,FR,True,Showroomprive.com,"Bonjour Nathalie,
Je vous remercie pour l'intérêt que vous portez à notre site.
Nous vous assurons que nous travaillons constamment pour améliorer de plus en plus notre service!
Ce sont vos commentaires qui nous permettent de le faire.
Par ailleurs, je vous informe avoir remonté votre observation auprès de nos services.
Si besoin, nous restons à votre disposition pour tout renseignement.
Cordialement,
Ayoub",4
6736,Excellent service aucun problème de…,26 août 2022,Excellent service aucun problème de livvraison,Michele,3 avis,FR,True,Showroomprive.com,"Bonjour,
Merci pour votre commentaire qui va faire plaisir à l'ensemble de nos équipes.
Nous sommes heureux de vous compter parmi nos clients.
A très bientôt,
Ghita",5
6737,Excellent site,26 août 2022,"Excellent site!
Beaucoup de choix au niveau des ventes et les articles sont livrés selon le délai communiqué.
Emballage parfait et les articles sont toujours conformes à leur description.
Je conseille ce site les yeux fermés.",Samir Zendaoui,6 avis,CH,True,Showroomprive.com,"Bonjour,
Merci pour votre commentaire qui va faire plaisir à l'ensemble de nos équipes.
Nous sommes heureux de vous compter parmi nos clients.
A très bientôt,
Ghita",5
6738,Je trouve toujours de bons produits et…,26 août 2022,Je trouve toujours de bons produits et le SAV est efficace.,Leila,4 avis,FR,True,Showroomprive.com,"Bonjour,
Merci pour votre commentaire qui va faire plaisir à l'ensemble de nos équipes.
Nous sommes heureux de vous compter parmi nos clients.
A très bientôt,
Ghita",5
6739,Achat d'habits de la marque 123,26 août 2022,Achat d'habits de la marque 123. Prix minimes . Commande reçue rapidement. Petit bémol sur l' emballage qui est à revoir veste complètement froissée je vais m'en voir pour la ramener correcte . Un carton aurait été plus adéquat.,Monique,1 avis,FR,True,Showroomprive.com,"Bonjour Monique,
Je vous remercie pour l'intérêt que vous portez à notre site.
Nous vous assurons que nous travaillons constamment pour améliorer de plus en plus notre service!
Ce sont vos commentaires qui nous permettent de le faire.
Par ailleurs, je vous informe avoir remonté votre observation auprès de nos services.
Si besoin, nous restons à votre disposition pour tout renseignement.
Cordialement,
Ayoub",4
6740,Je commandais souvent chez showroom…,14 octobre 2021,Je commandais souvent chez showroom privé jusqu au jour où j ai commandé une montre polo sport à offrir. La boîte c était polo sport mais l intérieur une montre quelconque. Mon ami n a jamais osé me le dire jusqu au jour où il a fini par cracher le morceau. J ai eu la honte de ma vie. Depuis je n ai plus fait de commande.,client(e),2 avis,FR,True,Showroomprive.com,"Bonjour,

Je suis navré d'apprendre que vous ayez reçu une montre non conforme dans votre commande.

Je vous présente nos excuses pour tout désagrément.

Nous vous assurons que nous travaillons constamment pour améliorer de plus en plus notre service!

Ce sont vos commentaires qui nous permettent de le faire.

Par ailleurs, je vous informe avoir remonté votre observation auprès de nos services.

Si besoin, nous restons à votre disposition pour tout renseignement.

Cordialement,
Ayoub",2
6741,Un site qui vaut le détour,26 août 2022,Très satisfait de mes achats chez Showroom et je continuerai des que possible merci beaucoup cordialement,Abdellatif,2 avis,FR,True,Showroomprive.com,"Bonjour,
Merci pour votre commentaire qui va faire plaisir à l'ensemble de nos équipes.
Nous sommes heureux de vous compter parmi nos clients.
A très bientôt,
Ghita",5
6742,La livraison est vraiment trop longue…,26 août 2022,La livraison est vraiment trop longue !!!!,Priscilla,2 avis,FR,True,Showroomprive.com,"Bonjour Priscilla,
Je vous remercie pour votre appréciation.
Nous vous assurons que nous travaillons constamment pour améliorer de plus en plus notre service!
Ce sont vos commentaires qui nous permettent de le faire.
Pour vous expliquer, les contraintes logistiques inhérentes à la nature des ventes événementielles ne nous permettent pas d’accélérer la livraison.
En effet, bien que nous mettions tout en œuvre pour réduire au minimum les délais de livraison, nous restons tributaires de la date de réception de la marchandise envoyée par notre fournisseur, ainsi que du temps nécessaire à la préparation de votre commande.
Par ailleurs, je vous informe avoir remonté cette observation auprès de nos services.
Si besoin, nous restons à votre disposition pour tout renseignement.
Cordialement,
Ayoub",3
6743,Très utile comme site sérieux et…,26 août 2022,Très utile comme site sérieux et efficace et que des bonne affaires le seule bémol c'est la durée de la livraison des fois un peu trop lonnnnggg,Kaouthar,2 avis,FR,True,Showroomprive.com,"Bonjour,
Merci pour votre commentaire qui va faire plaisir à l'ensemble de nos équipes.
Nous sommes heureux de vous compter parmi nos clients.
A très bientôt,
Ghita",5
6744,Jamais déçu toujours livré à temps,26 août 2022,Utile,Élisabeth,1 avis,FR,True,Showroomprive.com,"Bonjour,
Merci pour votre commentaire qui va faire plaisir à l'ensemble de nos équipes.
Nous sommes heureux de vous compter parmi nos clients.
A très bientôt,
Ghita",5
6745,Good,26 août 2022,Interessant,Irene,3 avis,FR,True,Showroomprive.com,"Bonjour Irene,
Un grand merci pour votre avis !
Bonne journée de la part de toute l'équipe.
Ayoub",4
6746,Entièrement satisfaite!!!!,26 août 2022,"Showroomprivée c'est être belle toute l'année ! De grande occasions, un service client à la hauteur qui trouve toujours des solutions. Lingeries/ linge de lit/ vêtements/ bijoux... des prix très accessibles, la possibilités d'étaler les paiements est un vrai plus. Je suis conquise et j'espère que cela continuera.",LINDA DJERAD,2 avis,FR,True,Showroomprive.com,"Bonjour,
Merci pour votre commentaire qui va faire plaisir à l'ensemble de nos équipes.
Nous sommes heureux de vous compter parmi nos clients.
A très bientôt,
Ghita",5
6747,Prix fort intéressant,26 août 2022,"Prix fort intéressant, reçu à la date dite. Très satisfaite",Daouadji djemila,2 avis,FR,True,Showroomprive.com,"Bonjour,
Merci pour votre commentaire qui va faire plaisir à l'ensemble de nos équipes.
Nous sommes heureux de vous compter parmi nos clients.
A très bientôt,
Ghita",5
6748,Toujours les même vente..,26 août 2022,Utile,Sema,2 avis,FR,True,Showroomprive.com,"Bonjour Sema,
Je vous remercie pour l'intérêt que vous portez à notre site.
Nous vous assurons que nous travaillons constamment pour améliorer de plus en plus notre service!
Ce sont vos commentaires qui nous permettent de le faire.
Par ailleurs, je vous informe avoir remonté votre observation auprès de nos services.
Si besoin, nous restons à votre disposition pour tout renseignement.
Cordialement,
Ayoub",3
6749,Les ventes proposées sont intéressantes…,26 août 2022,Les ventes proposées sont intéressantes j'ai juste un bémol avec la livraison qui n'est pas toujours au top et parfois totalement excessive au niveau tarif !,S�verine,4 avis,FR,True,Showroomprive.com,"Bonjour,
Je vous remercie pour l'intérêt que vous portez à notre site.
Nous vous assurons que nous travaillons constamment pour améliorer de plus en plus notre service!
Concernant les frais de livraison, voici les principales caractéristiques à savoir :
- Les frais de livraison varient selon le poids, le volume, la fragilité et le pays de destination du colis,
- Ils varient aussi selon le mode de livraison choisi : à votre domicile ou dans un point de retrait,
- Le montant de ces frais est fixé par le transporteur (mais nous veillons à toujours les rendre les plus bas possibles).
Si besoin, nous restons à votre disposition pour tout renseignement.
Cordialement,
Ayoub",4
6750,Super bonne qualité,26 août 2022,"Super bonne qualité
Livraison rapide 👍",Foucault Lætitia,2 avis,FR,True,Showroomprive.com,"Bonjour,
Merci pour votre commentaire qui va faire plaisir à l'ensemble de nos équipes.
Nous sommes heureux de vous compter parmi nos clients.
A très bientôt,
Ghita",5
6751,Les marques proposées et les prix…,26 août 2022,"Les marques proposées et les prix intéressants.
Par contre très fréquemment le point relais de livraison est différent de celui choisi … mais on en est informé",DARQUE,2 avis,FR,True,Showroomprive.com,"Bonjour,
Je vous remercie pour l'intérêt que vous portez à notre site.
Nous vous assurons que nous travaillons constamment pour améliorer de plus en plus notre service!
Ce sont vos commentaires qui nous permettent de le faire.
Par ailleurs, je vous informe avoir remonté votre observation auprès de nos services.
Si besoin, nous restons à votre disposition pour tout renseignement.
Cordialement,
Ayoub",4
6752,Site Sérieux !,26 août 2022,Utile,Corinne,1 avis,FR,True,Showroomprive.com,"Bonjour Corinne,
Merci d'avoir partagé votre expérience avec nous, votre message illumine notre journée !
À très bientôt sur Showroomprive.com.
Ayoub",4
6753,Et bien le vêtement pas conforme,26 août 2022,Utile,Martine,2 avis,FR,True,Showroomprive.com,"Bonjour Martine,
Je suis sincèrement désolé d'apprendre que vous ayez reçu des vêtements non conformes.
Je vous présente nos excuses pour ce désagrément.
Nous vous assurons que nous travaillons constamment pour améliorer de plus en plus notre service!
Ce sont vos commentaires qui nous permettent de le faire.
Par ailleurs, je vous informe avoir remonté cette anomalie auprès de nos services afin d'y remédier prochainement.
Si besoin, nous restons à votre disposition pour tout renseignement.
Cordialement,
Ayoub",3
